device_id,name,manufacturer,model,area,label_names,labels_direct_on_device,labels_inherited_from_entities,label_count,missing_labels,rule_failures,disabled_by,entry_type,entity_count,config_entries
df008cdfd9cf649c727d8e7fda2ebdc2,File editor,Official apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
fd4ec006a2ea1c62002c6b6b5a624173,Rolien smartphone prive,samsung,SM-G780F,Mobiel,"Mobile, Samsung, Sensor, Smartphone, WiFi","Mobile, Samsung, Smartphone, WiFi","Mobile, Sensor, WiFi",5,False,uncategorized label(s): Smartphone,,,106,799a51f930bc46005e348e0d284ab4cd
ea9c6469336707f63b9bdaa544a9218a,HACS,hacs.xyz,,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,2,e0a6c4b465ceb87ead43206b08d64131
5b7c8ea8b42463957074f5c51d2bacab,Samba share,Official apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
52357a981d33b3bdb7d00c7509609f5e,KleinUnifi,Ubiquiti,UCK G2 Plus,Meterkast,"Sensor, WiFi",WiFi,Sensor,2,False,missing category: brand,,,14,3785398f726ec15f42a2f85273340d6b
58b2b81b9aa033a7291a0ec1e59f7be1,Rudi tablet,samsung,SM-X200,Mobiel,"Mobile, Samsung, Tablet, WiFi","Mobile, Samsung, Tablet, WiFi",,4,False,missing category: function; uncategorized label(s): Tablet,,,114,01KSN9S0D1B7GP8NGGMJ24ETRY
ff8fa61dd834894006d836aef4eeb639,KleinTV,Samsung Electronics,UE55MU7000,Woonkamer,"WiFi, haghs_ignore","WiFi, haghs_ignore",,2,False,missing category: brand,user,,0,01KGMS7SYHEEGCJ0QZGTV7HA2H
51fe92171c788b79d42413677f07a934,Mosquitto broker,Official apps,Home Assistant App,Digital only,Digital only,Digital only,,1,False,"missing category: brand, protocol",,service,7,fa264e9a222c46061a3386896775c494
b6c4f46ebbab1bae7ef684418fd4c2a7,TV knop,IKEA,TRADFRI on/off switch,Woonkamer,"Button, IKEA, Sensor, Zigbee","Button, IKEA, Zigbee",Sensor,4,False,,,,11,d914edb87f840a427d90c7967f1290af
bf401b29948cfe956b33949537038c7f,Repeater schuur,IKEA,TRADFRI signal repeater,Achtertuin,"IKEA, Node, Repeater, Sensor, Zigbee","IKEA, Node, Repeater, Zigbee","Sensor, Zigbee",5,False,,,,9,d914edb87f840a427d90c7967f1290af
cc3d1aaec33b1f095e4ae3ebfa88fd9d,Gordijn J/D,Aqara,Roller shade driver E1,Slaapkamer D/J,"Sensor, Zigbee, haghs_ignore","Sensor, Zigbee, haghs_ignore",Sensor,3,False,missing category: brand,,,14,d914edb87f840a427d90c7967f1290af
202373e9491d4aa24ca937cec240ad86,Lichtsensor J/D,Xiaomi,Mi light sensor,Slaapkamer D/J,"Sensor, Zigbee","Sensor, Zigbee",Sensor,2,False,missing category: brand,,,7,d914edb87f840a427d90c7967f1290af
cab145732fe2e0e51ca519890a7a134c,Rolluik knop J/D,IKEA,TRADFRI on/off switch,Slaapkamer D/J,"Button, IKEA, Sensor, Zigbee","Button, IKEA, Zigbee",Sensor,4,False,,,,8,d914edb87f840a427d90c7967f1290af
92af3f56870153cbc2aa28a014c0b480,Darius knop,IKEA,TRADFRI on/off switch,Slaapkamer D/J,"Button, Sensor, Zigbee","Button, Zigbee",Sensor,3,False,missing category: brand,,,8,d914edb87f840a427d90c7967f1290af
1e623be1603b93cc8eee2ca7e9045481,Poort bewegingssensor,IKEA,TRADFRI motion sensor,Achtertuin,"IKEA, Sensor, Zigbee","IKEA, Sensor, Zigbee","Sensor, Zigbee",3,False,,,,19,d914edb87f840a427d90c7967f1290af
57ec426c1acd0ef4659e3dda21a0bf9e,Veranda bewegingssensor,IKEA,TRADFRI motion sensor,Veranda,"IKEA, Presence, Sensor, Zigbee","IKEA, Presence, Zigbee",Sensor,4,False,,,,19,d914edb87f840a427d90c7967f1290af
96439bdc7d74f5394f4eccb4c0b5ab06,Rolien knop,IKEA,TRADFRI on/off switch,Slaapkamer R/R,"Button, IKEA, Sensor, Zigbee","Button, IKEA, Zigbee",Sensor,4,False,,,,11,d914edb87f840a427d90c7967f1290af
0afb2a914a6722015c6280c9ddef3aca,Woonkamer luchtsensor,IKEA,VINDSTYRKA air quality and humidity sensor,Woonkamer,"IKEA, Node, Repeater, Sensor, Zigbee","IKEA, Node, Repeater, Sensor, Zigbee",Sensor,5,False,,,,16,d914edb87f840a427d90c7967f1290af
1349810e6ea19da11b77d2d28e827a59,Rolluik knop R/R,IKEA,TRADFRI on/off switch,Slaapkamer R/R,"Button, IKEA, Sensor, Zigbee","Button, IKEA, Zigbee",Sensor,4,False,,,,11,d914edb87f840a427d90c7967f1290af
e01bdca3fa69a22843758d064b2fca4c,Slaapkamer raamsensor R/R,SONOFF,Contact sensor,Slaapkamer R/R,"Sensor, Zigbee, haghs_ignore","Sensor, Zigbee, haghs_ignore",Sensor,3,False,missing category: brand,user,,10,d914edb87f840a427d90c7967f1290af
