entity_id,name,domain,platform,device_id,device_name,area,area_source,entity_category,label_names,label_count,missing_labels,rule_failures,disabled_by,hidden_by
update.hal_boven_plafondlamp_2_firmware,Firmware,update,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
light.hal_boven_plafondlamp_2,,light,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,,,0,True,no labels at all,,
button.hal_boven_plafondlamp_2_identify,Identify,button,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,diagnostic,,0,True,no labels at all,,
number.hal_boven_plafondlamp_2_off_transition_time,Off transition time,number,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_2_on_level,On level,number,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_2_on_transition_time,On transition time,number,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_2_on_off_transition_time,On/Off transition time,number,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
select.hal_boven_plafondlamp_2_power_on_behavior_on_startup,Power-on behavior,select,matter,acb9ecb40a9127df19dc923deea3e47f,Hal boven - plafondlamp 2,Hal boven,device,config,,0,True,no labels at all,,
update.hal_boven_plafondlamp_1_firmware,Firmware,update,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
light.hal_boven_plafondlamp_1,,light,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,,,0,True,no labels at all,,
button.hal_boven_plafondlamp_1_identify,Identify,button,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,diagnostic,,0,True,no labels at all,,
number.hal_boven_plafondlamp_1_off_transition_time,Off transition time,number,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_1_on_level,On level,number,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
number.hal_boven_plafondlamp_1_on_transition_time,On transition time,number,matter,61e2ea981e6afbd050d73be31cfc3bd1,Hal boven - plafondlamp 1,Hal boven,device,config,,0,True,no labels at all,,
