entity_id,domain,full_entity_id
ev3_sv1_24_tire_pressure_front_left,binary_sensor,binary_sensor.ev3_sv1_24_tire_pressure_front_left
ev3_sv1_24_tire_pressure_front_right,binary_sensor,binary_sensor.ev3_sv1_24_tire_pressure_front_right
ev3_sv1_24_tire_pressure_rear_left,binary_sensor,binary_sensor.ev3_sv1_24_tire_pressure_rear_left
ev3_sv1_24_tire_pressure_rear_right,binary_sensor,binary_sensor.ev3_sv1_24_tire_pressure_rear_right
ev3_sv1_24_trunk,binary_sensor,binary_sensor.ev3_sv1_24_trunk
ev3_sv1_24_washer_fluid_warning,binary_sensor,binary_sensor.ev3_sv1_24_washer_fluid_warning
everything_presence_lite_20b1c8_assumed_present,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_assumed_present
everything_presence_lite_20b1c8_occupancy,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_occupancy
everything_presence_lite_20b1c8_target_1_active,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_target_1_active
everything_presence_lite_20b1c8_target_2_active,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_target_2_active
everything_presence_lite_20b1c8_target_3_active,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_target_3_active
everything_presence_lite_20b1c8_zone_1_occupancy,binary_sensor,binary_sensor.everything_presence_lite_20b1c8_zone_1_occupancy
fornuiskleinsensenl_is_present,binary_sensor,binary_sensor.fornuiskleinsensenl_is_present
heating_early_start,binary_sensor,binary_sensor.heating_early_start
heating_link,binary_sensor,binary_sensor.heating_link
heating_open_window,binary_sensor,binary_sensor.heating_open_window
heating_overlay,binary_sensor,binary_sensor.heating_overlay
heating_power,binary_sensor,binary_sensor.heating_power
hot_water_link,binary_sensor,binary_sensor.hot_water_link
hot_water_overlay,binary_sensor,binary_sensor.hot_water_overlay
hot_water_power,binary_sensor,binary_sensor.hot_water_power
huiskamer_climatecontrol_is_holiday_mode_active,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_holiday_mode_active
huiskamer_climatecontrol_is_in_caution_state,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_in_caution_state
huiskamer_climatecontrol_is_in_error_state,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_in_error_state
huiskamer_climatecontrol_is_in_mode_conflict,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_in_mode_conflict
huiskamer_climatecontrol_is_in_warning_state,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_in_warning_state
huiskamer_climatecontrol_is_powerful_mode_active,binary_sensor,binary_sensor.huiskamer_climatecontrol_is_powerful_mode_active
huiskamer_gateway_is_firmware_update_supported,binary_sensor,binary_sensor.huiskamer_gateway_is_firmware_update_supported
huiskamer_gateway_is_in_error_state,binary_sensor,binary_sensor.huiskamer_gateway_is_in_error_state
huiskamer_outdoorunit_is_in_caution_state,binary_sensor,binary_sensor.huiskamer_outdoorunit_is_in_caution_state
huiskamer_outdoorunit_is_in_error_state,binary_sensor,binary_sensor.huiskamer_outdoorunit_is_in_error_state
huiskamer_outdoorunit_is_in_warning_state,binary_sensor,binary_sensor.huiskamer_outdoorunit_is_in_warning_state
huiskamerdeur_door,binary_sensor,binary_sensor.huiskamerdeur_door
ib1817389568_connection_state,binary_sensor,binary_sensor.ib1817389568_connection_state
ikea_parasol_1_contact,binary_sensor,binary_sensor.ikea_parasol_1_contact
ikea_parasol_1_contact_2,binary_sensor,binary_sensor.ikea_parasol_1_contact_2
ikea_parasol_2_contact,binary_sensor,binary_sensor.ikea_parasol_2_contact
ikea_raamsensor_j_d_contact,binary_sensor,binary_sensor.ikea_raamsensor_j_d_contact
inverter_122403000786_communicating,binary_sensor,binary_sensor.inverter_122403000786_communicating
inverter_122403000786_producing,binary_sensor,binary_sensor.inverter_122403000786_producing
inverter_122403011963_communicating,binary_sensor,binary_sensor.inverter_122403011963_communicating
inverter_122403011963_producing,binary_sensor,binary_sensor.inverter_122403011963_producing
inverter_122403013390_communicating,binary_sensor,binary_sensor.inverter_122403013390_communicating
inverter_122403013390_producing,binary_sensor,binary_sensor.inverter_122403013390_producing
inverter_122403013624_communicating,binary_sensor,binary_sensor.inverter_122403013624_communicating
inverter_122403013624_producing,binary_sensor,binary_sensor.inverter_122403013624_producing
inverter_122403017296_communicating,binary_sensor,binary_sensor.inverter_122403017296_communicating
inverter_122403017296_producing,binary_sensor,binary_sensor.inverter_122403017296_producing
inverter_122403017303_communicating,binary_sensor,binary_sensor.inverter_122403017303_communicating
inverter_122403017303_producing,binary_sensor,binary_sensor.inverter_122403017303_producing
inverter_122403017394_communicating,binary_sensor,binary_sensor.inverter_122403017394_communicating
inverter_122403017394_producing,binary_sensor,binary_sensor.inverter_122403017394_producing
inverter_122403017400_communicating,binary_sensor,binary_sensor.inverter_122403017400_communicating
inverter_122403017400_producing,binary_sensor,binary_sensor.inverter_122403017400_producing
inverter_122403017402_communicating,binary_sensor,binary_sensor.inverter_122403017402_communicating
inverter_122403017402_producing,binary_sensor,binary_sensor.inverter_122403017402_producing
inverter_122403017544_communicating,binary_sensor,binary_sensor.inverter_122403017544_communicating
inverter_122403017544_producing,binary_sensor,binary_sensor.inverter_122403017544_producing
inverter_122403017575_communicating,binary_sensor,binary_sensor.inverter_122403017575_communicating
inverter_122403017575_producing,binary_sensor,binary_sensor.inverter_122403017575_producing
inverter_122403017626_communicating,binary_sensor,binary_sensor.inverter_122403017626_communicating
inverter_122403017626_producing,binary_sensor,binary_sensor.inverter_122403017626_producing
inverter_122403017701_communicating,binary_sensor,binary_sensor.inverter_122403017701_communicating
inverter_122403017701_producing,binary_sensor,binary_sensor.inverter_122403017701_producing
julius_smartphone_s20kleinsensenl_is_present,binary_sensor,binary_sensor.julius_smartphone_s20kleinsensenl_is_present
julius_tabletkleinsensenl_is_present,binary_sensor,binary_sensor.julius_tabletkleinsensenl_is_present
kia_ev3kleinsensenl_is_present,binary_sensor,binary_sensor.kia_ev3kleinsensenl_is_present
kleinblinkcam1_battery,binary_sensor,binary_sensor.kleinblinkcam1_battery
kleinblinkcam1_motion,binary_sensor,binary_sensor.kleinblinkcam1_motion
kleinblinkcam2_battery,binary_sensor,binary_sensor.kleinblinkcam2_battery
kleinblinkcam2_motion,binary_sensor,binary_sensor.kleinblinkcam2_motion
kleinblinkkleinsensenl_is_present,binary_sensor,binary_sensor.kleinblinkkleinsensenl_is_present
kleinboilkleinsensenl_is_present,binary_sensor,binary_sensor.kleinboilkleinsensenl_is_present
kleincastkleinsensenl_is_present,binary_sensor,binary_sensor.kleincastkleinsensenl_is_present
kleinfloorkleinsensenl_is_present,binary_sensor,binary_sensor.kleinfloorkleinsensenl_is_present
kleingen_hdd_1,binary_sensor,binary_sensor.kleingen_hdd_1
kleinlesskleinnet_is_present,binary_sensor,binary_sensor.kleinlesskleinnet_is_present
kleinlink_slaapkamerkleinsensenl_is_present,binary_sensor,binary_sensor.kleinlink_slaapkamerkleinsensenl_is_present
kleinmetwokleinsensenl_is_present,binary_sensor,binary_sensor.kleinmetwokleinsensenl_is_present
kleinnext_drive_1_below_min_remaining_life,binary_sensor,binary_sensor.kleinnext_drive_1_below_min_remaining_life
kleinnext_drive_1_exceeded_max_bad_sectors,binary_sensor,binary_sensor.kleinnext_drive_1_exceeded_max_bad_sectors
kleinnext_drive_2_below_min_remaining_life,binary_sensor,binary_sensor.kleinnext_drive_2_below_min_remaining_life
kleinnext_drive_2_exceeded_max_bad_sectors,binary_sensor,binary_sensor.kleinnext_drive_2_exceeded_max_bad_sectors
kleinnext_security_status,binary_sensor,binary_sensor.kleinnext_security_status
kleinnotifier_dnd,binary_sensor,binary_sensor.kleinnotifier_dnd
kleinpaal_charging,binary_sensor,binary_sensor.kleinpaal_charging
kleinpaal_connectivity,binary_sensor,binary_sensor.kleinpaal_connectivity
kleinpaal_plugged_in,binary_sensor,binary_sensor.kleinpaal_plugged_in
kleinpaal_wifikleinsensenl_is_present,binary_sensor,binary_sensor.kleinpaal_wifikleinsensenl_is_present
kleinpaal_wifikleinsensenl_is_present_2,binary_sensor,binary_sensor.kleinpaal_wifikleinsensenl_is_present_2
kleinroofkleinsensenl_is_present,binary_sensor,binary_sensor.kleinroofkleinsensenl_is_present
kleinsensekleinsensenl_is_present,binary_sensor,binary_sensor.kleinsensekleinsensenl_is_present
kleinshedkleinsensenl_is_present,binary_sensor,binary_sensor.kleinshedkleinsensenl_is_present
kleinspy1_veranda_detections_motion,binary_sensor,binary_sensor.kleinspy1_veranda_detections_motion
kleinspy1_veranda_hdr_mode,binary_sensor,binary_sensor.kleinspy1_veranda_hdr_mode
kleinspy1_veranda_is_dark,binary_sensor,binary_sensor.kleinspy1_veranda_is_dark
kleinspy1_veranda_motion,binary_sensor,binary_sensor.kleinspy1_veranda_motion
kleinspy1_veranda_overlay_show_bitrate,binary_sensor,binary_sensor.kleinspy1_veranda_overlay_show_bitrate
kleinspy1_veranda_overlay_show_date,binary_sensor,binary_sensor.kleinspy1_veranda_overlay_show_date
kleinspy1_veranda_overlay_show_logo,binary_sensor,binary_sensor.kleinspy1_veranda_overlay_show_logo
kleinspy1_veranda_overlay_show_name,binary_sensor,binary_sensor.kleinspy1_veranda_overlay_show_name
kleinspy1_veranda_status_light_on,binary_sensor,binary_sensor.kleinspy1_veranda_status_light_on
kleinspy1_veranda_system_sounds,binary_sensor,binary_sensor.kleinspy1_veranda_system_sounds
kleinspy1kleinsensenl_is_present,binary_sensor,binary_sensor.kleinspy1kleinsensenl_is_present
kleinspy2_voordeur_detections_motion,binary_sensor,binary_sensor.kleinspy2_voordeur_detections_motion
kleinspy2_voordeur_hdr_mode,binary_sensor,binary_sensor.kleinspy2_voordeur_hdr_mode
kleinspy2_voordeur_is_dark,binary_sensor,binary_sensor.kleinspy2_voordeur_is_dark
kleinspy2_voordeur_motion,binary_sensor,binary_sensor.kleinspy2_voordeur_motion
kleinspy2_voordeur_overlay_show_bitrate,binary_sensor,binary_sensor.kleinspy2_voordeur_overlay_show_bitrate
kleinspy2_voordeur_overlay_show_date,binary_sensor,binary_sensor.kleinspy2_voordeur_overlay_show_date
kleinspy2_voordeur_overlay_show_logo,binary_sensor,binary_sensor.kleinspy2_voordeur_overlay_show_logo
kleinspy2_voordeur_overlay_show_name,binary_sensor,binary_sensor.kleinspy2_voordeur_overlay_show_name
kleinspy2_voordeur_status_light_on,binary_sensor,binary_sensor.kleinspy2_voordeur_status_light_on
kleinspy2_voordeur_system_sounds,binary_sensor,binary_sensor.kleinspy2_voordeur_system_sounds
kleinspy2kleinsensenl_is_present,binary_sensor,binary_sensor.kleinspy2kleinsensenl_is_present
kleinswitch_3kleinnet_is_present,binary_sensor,binary_sensor.kleinswitch_3kleinnet_is_present
kleinswitch_5kleinnet_is_present,binary_sensor,binary_sensor.kleinswitch_5kleinnet_is_present
kleinswitch_6kleinnet_is_present,binary_sensor,binary_sensor.kleinswitch_6kleinnet_is_present
kleintabkleinsensenl_is_present,binary_sensor,binary_sensor.kleintabkleinsensenl_is_present
kleintv_wirelesskleinsensenl_is_present,binary_sensor,binary_sensor.kleintv_wirelesskleinsensenl_is_present
kleinunifikleinsensenl_is_present,binary_sensor,binary_sensor.kleinunifikleinsensenl_is_present
kleinwizardkleinsensenl_is_present,binary_sensor,binary_sensor.kleinwizardkleinsensenl_is_present
laadpaal_running,binary_sensor,binary_sensor.laadpaal_running
matter_server_running,binary_sensor,binary_sensor.matter_server_running
mobiel_rolien_smartphone_prive_android_auto,binary_sensor,binary_sensor.mobiel_rolien_smartphone_prive_android_auto
mobiel_rolien_smartphone_prive_high_accuracy_mode,binary_sensor,binary_sensor.mobiel_rolien_smartphone_prive_high_accuracy_mode
mobiel_rudi_local_ip_android_auto,binary_sensor,binary_sensor.mobiel_rudi_local_ip_android_auto
mobiel_rudi_smartphone_android_auto,binary_sensor,binary_sensor.mobiel_rudi_smartphone_android_auto
mobiel_rudi_smartphone_rudiphone55_android_auto,binary_sensor,binary_sensor.mobiel_rudi_smartphone_rudiphone55_android_auto
mobiel_rudiphone55_android_auto,binary_sensor,binary_sensor.mobiel_rudiphone55_android_auto
myggbett_door_window_sensor_door,binary_sensor,binary_sensor.myggbett_door_window_sensor_door
