entity_id,state,domain,friendly_name
sensor.veranda_veranda_tf1_temperature,27.73,sensor,Veranda (TF1) Temperature
button.veranda_veranda_tf1_identify_2,unknown,button,Veranda (TF1) Identify (2)
sensor.veranda_veranda_tf1_humidity,51.46,sensor,Veranda (TF1) Humidity
sun.sun,above_horizon,sun,Sun
sensor.sun_next_dawn,2026-08-04T03:24:29+00:00,sensor,Sun Next dawn
sensor.sun_next_dusk,2026-08-03T20:07:13+00:00,sensor,Sun Next dusk
sensor.sun_next_midnight,2026-08-03T23:45:32+00:00,sensor,Sun Next midnight
sensor.sun_next_noon,2026-08-04T11:45:34+00:00,sensor,Sun Next noon
sensor.sun_next_rising,2026-08-04T04:05:57+00:00,sensor,Zon op
sensor.sun_next_setting,2026-08-03T19:25:48+00:00,sensor,Sun Next setting
sensor.sun_solar_elevation,4.02,sensor,Sun Solar elevation
sensor.sun_solar_azimuth,293.58,sensor,Sun Solar azimuth
light.badkamer_fan_nieuw,off,light,Badkamer ventilator rflink 2
counter.badkamer_ir_timer_short,10,counter,Badkamer IR timer short
counter.badkamer_ir_timer_long,30,counter,Badkamer IR timer long
input_text.manual_logger_target,,input_text,Manual Logger target
sensor.energy_kwh_meter_kleinshed_power_mod,20,sensor,template_energy_kwh_meter_kleinshed_power_mod
sensor.template_energy_kwh_meter_kleinfloor_power,0.0,sensor,template_energy_kwh_meter_kleinfloor_mod
sensor.template_envoy_122428000926_current_power_production,183.41,sensor,template_envoy_122428000926_current_power_production
sensor.accusaver_energie_vandaag,0,sensor,AccuSaver Energie Vandaag
sensor.accuserver_energie_gisteren,0,sensor,AccuSaver Energie gisteren
sensor.watermeter_virtual_reading,1806.897,sensor,Watermeter Virtual reading
binary_sensor.espsomfyrts_zonnescherm_zon,on,binary_sensor,Zonnescherm
binary_sensor.espsomfyrts_zonnescherm_wind,on,binary_sensor,Zonnescherm
button.espsomfyrts_reboot_esp_device,unknown,button,Zonnescherm Reboot ESP Device
button.espsomfyrts_backup_espsomfy_rts,2026-05-28T16:22:48.391393+00:00,button,Zonnescherm Backup ESPSomfy RTS
cover.espsomfyrts_zonnescherm,open,cover,Zonnescherm
sensor.espsomfyrts_hostname,ESPSomfyRTS,sensor,Zonnescherm Hostname
sensor.espsomfyrts_chip_type,ESP32,sensor,Zonnescherm Chip Type
sensor.espsomfyrts_connection,Wifi,sensor,Zonnescherm Connection
sensor.espsomfyrts_wifi_strength,-38,sensor,Zonnescherm Wifi Strength
sensor.espsomfyrts_wifi_ssid,KleinLess,sensor,Zonnescherm Wifi SSID
sensor.espsomfyrts_wifi_channel,9,sensor,Zonnescherm Wifi Channel
sensor.espsomfyrts_free_memory,157636,sensor,Zonnescherm Free Memory
sensor.espsomfyrts_max_memory,110580,sensor,Zonnescherm Max Memory
